mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_subsample,param_reg_lambda,param_reg_alpha,param_n_estimators,param_min_child_weight,param_max_depth,param_learning_rate,param_gamma,param_colsample_bytree,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,experiment
0.3981322288513184,0.0053119161237952205,0.007283830642700195,0.001369637893865182,1.0,10.0,0.1,600,1,5,0.1,0.1,1.0,"{'subsample': 1.0, 'reg_lambda': 10.0, 'reg_alpha': 0.1, 'n_estimators': 600, 'min_child_weight': 1, 'max_depth': 5, 'learning_rate': 0.1, 'gamma': 0.1, 'colsample_bytree': 1.0}",-0.1209711396506301,-0.019605946309800792,-0.02573008502960697,-0.04787397225761698,-0.05682281932540223,-0.05420079251461141,0.03609035190866514,6,C_vibration_based
0.21832265853881835,0.005520217150935818,0.006398391723632812,0.002027834408353386,0.85,3.0,0.1,150,8,5,0.08,0.05,1.0,"{'subsample': 0.85, 'reg_lambda': 3.0, 'reg_alpha': 0.1, 'n_estimators': 150, 'min_child_weight': 8, 'max_depth': 5, 'learning_rate': 0.08, 'gamma': 0.05, 'colsample_bytree': 1.0}",-0.14783800251404847,-0.018740115365583294,-0.023939374244970058,-0.049138187382501856,-0.057407313775805435,-0.059412598656581814,0.04656444413724105,9,C_vibration_based
0.9628071308135986,0.04661022137961182,0.00704498291015625,0.001585586454164092,1.0,1.0,0.01,150,1,5,0.05,0.0,1.0,"{'subsample': 1.0, 'reg_lambda': 1.0, 'reg_alpha': 0.01, 'n_estimators': 150, 'min_child_weight': 1, 'max_depth': 5, 'learning_rate': 0.05, 'gamma': 0.0, 'colsample_bytree': 1.0}",-0.16106619211931966,-0.018977861890941184,-0.02747674127820397,-0.051849459900122824,-0.062468440341788264,-0.06436773910607518,0.05085684248863626,16,C_vibration_based
0.25030694007873533,0.014457650250274543,0.007979536056518554,0.0019395797357432383,1.0,10.0,0.01,250,1,2,0.1,0.01,1.0,"{'subsample': 1.0, 'reg_lambda': 10.0, 'reg_alpha': 0.01, 'n_estimators': 250, 'min_child_weight': 1, 'max_depth': 2, 'learning_rate': 0.1, 'gamma': 0.01, 'colsample_bytree': 1.0}",-0.16488329197417972,-0.021802820876395106,-0.02729946658287777,-0.06304566459959068,-0.06479949619642389,-0.06836614804589343,0.05140273024863518,20,C_vibration_based
1.0386781215667724,0.05127742423996334,0.006607770919799805,0.0020950666054059416,0.7,1.0,0.01,250,5,5,0.1,0.0,1.0,"{'subsample': 0.7, 'reg_lambda': 1.0, 'reg_alpha': 0.01, 'n_estimators': 250, 'min_child_weight': 5, 'max_depth': 5, 'learning_rate': 0.1, 'gamma': 0.0, 'colsample_bytree': 1.0}",-0.16344145295111145,-0.016074026609992822,-0.027984327903539934,-0.058864223080092454,-0.06254585463341168,-0.06578197703562967,0.05195236983912898,18,C_vibration_based
2.3095327854156493,0.1107609720968005,0.006988620758056641,0.0022950312393874434,0.85,10.0,0.01,600,3,5,0.05,0.0,0.8,"{'subsample': 0.85, 'reg_lambda': 10.0, 'reg_alpha': 0.01, 'n_estimators': 600, 'min_child_weight': 3, 'max_depth': 5, 'learning_rate': 0.05, 'gamma': 0.0, 'colsample_bytree': 0.8}",-0.16691126619055133,-0.014029767737070027,-0.026475805574376756,-0.05086986952582004,-0.052889622351112095,-0.06223526627578605,0.054361911998804205,14,C_vibration_based
0.4838565826416016,0.01815790428738911,0.006873798370361328,0.0023572962592131462,0.7,10.0,0.0,250,8,4,0.02,0.1,1.0,"{'subsample': 0.7, 'reg_lambda': 10.0, 'reg_alpha': 0.0, 'n_estimators': 250, 'min_child_weight': 8, 'max_depth': 4, 'learning_rate': 0.02, 'gamma': 0.1, 'colsample_bytree': 1.0}",-0.12962239850199694,-0.018653364974565937,-0.0232588726187899,-0.04577816185977328,-0.05233072032513316,-0.05392870365605183,0.03995874967182423,4,C_vibration_based
0.39644441604614256,0.019642573150667798,0.010733604431152344,0.007454457803121392,0.7,5.0,0.5,400,8,3,0.02,0.1,0.8,"{'subsample': 0.7, 'reg_lambda': 5.0, 'reg_alpha': 0.5, 'n_estimators': 400, 'min_child_weight': 8, 'max_depth': 3, 'learning_rate': 0.02, 'gamma': 0.1, 'colsample_bytree': 0.8}",-0.12968744080561484,-0.017388145503506505,-0.023392869404789244,-0.04402647381530799,-0.05000769395487799,-0.052900524696819315,0.04028691730835528,3,C_vibration_based
0.46375408172607424,0.02061453904947338,0.011986923217773438,0.007332577845528653,1.0,10.0,0.01,150,8,4,0.02,0.01,1.0,"{'subsample': 1.0, 'reg_lambda': 10.0, 'reg_alpha': 0.01, 'n_estimators': 150, 'min_child_weight': 8, 'max_depth': 4, 'learning_rate': 0.02, 'gamma': 0.01, 'colsample_bytree': 1.0}",-0.12434930074214495,-0.019035221902895413,-0.0230555490480369,-0.043866402632670325,-0.05958711877008915,-0.053978718619167344,0.03811304840674741,5,C_vibration_based
0.406752347946167,0.011674777087195087,0.007118988037109375,0.002847704174981167,0.7,1.0,0.5,600,3,2,0.05,0.05,1.0,"{'subsample': 0.7, 'reg_lambda': 1.0, 'reg_alpha': 0.5, 'n_estimators': 600, 'min_child_weight': 3, 'max_depth': 2, 'learning_rate': 0.05, 'gamma': 0.05, 'colsample_bytree': 1.0}",-0.14910322301810794,-0.0185100897575823,-0.02666362637950219,-0.05568058011439726,-0.06109085617434443,-0.06220967508878683,0.04640591523858829,13,C_vibration_based
